speakerA_name,speakerB_name,speakerA-1,speakerB-2,speakerA-3,speakerB-4,speakerA-5
Ganjar Pranowo,Arvan,"Ada gak di group nanya emang kenapa pak, gitu",Kan saya gak sakit gitu pernah ada yang nanya kalau orang yang sakit kan nanti kalau karena korona juga gitu,"Di WA group itu terus chattingnya apa
 Komentar kawan-kawanmu apa","Itu cuma diterusin sama itu pak grup wali kelas sih, kamu namanya grup, Wali murid, Wali kelas, Wali kelas. Jadi kayak ada grup Guru gitu kan ini tugasnya ini terus nanti iterusin ke grup kelas melalui wali kelas","Oke, kamu pernah protes ke saya soal banyaknya PR, Samalah dengan fitri ya, ini ada guru walaupun bukan gurumu langsung Bu Yuyun, kira-kira kalau kamu ketemu sama bu Yuyun dan anggaplah Bu Yuyun hari ini gurumu, Guru kalian berdua, kamu mau ngomong apa sama Bu Yuyun"
Ganjar Pranowo,Fitri,Pernah enggak gurumu dari selama kamu belajar dirumah memberikan pelajaran atau pertanyaan terkait dengan Corona dengan Covid-19 ini?,"Ya belum pernah, cuman suruh menghimbau","Kalau disuruh ke rumah aja enggak usah keluar-keluar, perintahnya cuma gitu aja?",Iya,"Oh gitu ya,  Ya udah enggak keluar-keluar gitu tapi enggak pernah jelasin Corona itu apa itu apa dan sebagainya"
Ganjar Pranowo,Fitri,Menurutmu penting enggak sih keluar rumah dalam suasana seperti ini?,"Ya enggak penting soalnya kalau misalnya kita waktu di rumah enggak ada virus, terus nanti waktu habis pergi, terus tahu-tahu bawa virus ke rumah kan kasihan orang rumah juga","Oh gitu ya tapi kan banyak temenmu piknik, kan ada yang pelajarnya malah piknik bonjongan, motoran, rumah. Kemarin malah ditangkep Satwal PP gimana itu kalau ada temenmu kayak gitu bahaya enggak sih?",Ya bahaya soalnya kan kita keluar nanti bawa virus,"Kamu kalau ada temenmu yang kemudian suruh belajar di rumah tapi malah dia jalan-jalan ketemu sama kamu atau ketemu di WA Fitriya, ruki kamu di rumah bosen parang ketemu bu Yuyun, Nah itu gas terus jelei masih sudah piknik piknik, keluar yuk kabur kabur kabur gitu kan, kalau ada yang kayak gitu kamu kira-kira responnya seperti apa fitriya?"
Ganjar Pranowo,Fitri,"Di luar belajar daring di rumah kamu pernah gak ngikuti perkembangan tentang Corona ini melalui YouTube, mungkin dikirim video WA apa yang terjadi di Itali di Wuhan pernah ngikutinya?",Kurang mengikuti,Kurang mengikuti jadi kamu juga gajah sebenarnya?,Iya,"Kalau kamu ngikutinya yang paling ikutinya, yang di Indonesia, terus sama yang di Cina Perawatnya sudah lepas masker juga dia yang bebas dari Corona, kita yang tenang, yang mudah tapi Indonesia sudah bebas belum?"
Ganjar Pranowo,Yuyun,Guru sendiri sebenarnya punya pemahaman tentang itu ntuk disampaikan kepada murid gak?,"Menurut saya, sebelum membagikan informasi, kita harus menyaring dulu. Saat anak-anak diminta belajar dari rumah, saya dapat info soal pentingnya isolasi 14 hari. Setelah saya pelajari, tujuannya untuk memutus rantai penyebaran virus. ",Oh kenapa harus 14 hari dan seterusnya udah dibagi kepada siswa?,Iya betul,"Sangat terima kasih, yang paling seperti itu kalau orang tua, iya bu terima kasih kemudian sama orang tua pasti responnya positif seperti yang saya sampaikan tadi ini anak-anak sampai bosen Bu di rumah dan seterusnya"
Ganjar Pranowo,Fitri,"Kira-kira temenmu sampai hari ini, masih tetap bertahan di rumah apa sudah pergi kemana-mana?","Tergantung anaknya juga kalau anaknya nggak patuh orang tua ya paling izinnya kerja kelompok, tapi mesti nanti bablas main",Kalau orang tuamu kasih tahu kamu nggak?,Iya kasih tahu,Orang tuamu pernah cerita ke kamu tentang Corona?
Ganjar Pranowo,Yuyun,Bu Yuyun biasanya kalau soal komunikasi kan terkait dengan jaringan ya,Iya betul,Kalau selama ini jaringannya lumayan lancar nggak?,"Kalau belajar di rumah memang tidak selalu lancar, tapi yang penting tetap ada komunikasi. Misalnya ada siswa di rumah nenek, tetap bisa chat lewat WA. Guru harus pintar-pintar, bersikap seperti orang tua.",Tapi pernah digeluhin teman sesama guru nggak? kuota tipis atau nggak ada sinyal
Ganjar Pranowo,Fitri,Sekarang tugasnya masih menumpuk nggak?,Iya masih ada dua,Gurumu masih membombardir kamu dengan tugas-tugas lebih banyak nggak sekarang?,Kayaknya udah berkurang sih,Udah berkurang?
Ganjar Pranowo,Arvan,Kalau kamu Arvan sekarang masih banyak nggak tugasnya?,"Enggak Pak, Tugas paling satu halaman dua halaman",Satu halaman dua halaman kenapa gurumu sekarang sudah tidak memberi tugas lagi kira-kira murumu?,Mungkin karena ada videonya Pak Dengar Pindahan hari ini,Disini apa yang kamu ingat?
Naufan Afansahari,Alarik,Alarik kali ini bagaimana kabarnya?,Alhamdulillah adabil khairi wal afia kaifah al-uqadah,Alhamdulillah adabil khairi wal afia terima kasih ya sudah datang di Belian Podcast kali ini,Sama-sama,Sahabat berlian tak kenal maka tak sayang yuk kita kenalan dulu Alarik nama rekamnya siapa?
Naufan Afansahari,Alarik,Alarik sekarang kelas berapa sih?,Ya untuk saat ini aku masih menduduki bangku kelas 5 SD loh masih muda nih saya,"Sama dong sama saya, saya juga kelas 5 Alarik. Alarik hobinya apa sih?",Ya jadi hobi saya adalah membuat karya tulis seperti cerita teks pidato dan lain-lain,Sama dong sama saya kalau saya biasanya di rumah bikinnya cerita komik gitu
Naufan Afansahari,Alarik,Alarik kalau udah besar cita-citanya mau jadi apa sih?,Nah jadi cita-cita saya saat besar adalah ingin menjadi jurnalis dong sesuai dengan movie saya tadi tuh,"Wah keren banget, oke sahabat berlian kita sedang berkenalan kan dengan Alarik sekarang kita tanya-tanya, boleh kan Alarik?",Bisa aja dong,Kita mau bertanya seputar infak atau sodako pertanyaan pertama nih apakah Alarik di sekolah sering berinfak?
Naufan Afansahari,Alarik,Pertanyaan kedua nih alarik kalau sering-sering berinfak apakah Alarik gatak aku nanti uangnya alarik habis,Gatak aku dong kan aku ini berbeda di quran surat saba Ayat 39 yang saya berlihat yang berbunyi dan barang apa saja yang kamu nafkahkan maka Allah aku akan menggantinya dan dialah sebaik-baik yang pemberi Rizki,"Masya Allah keren sekali, Pertanyaan ketiga kalau boleh tahu nih Alarik selain Infaq di sekolah Alarik infaqnya dimana aja sih?",Ya jadi selain aku berinfak di sekolah biasanya aku berinfaq di masjid atau lembaga amal contohnya sepertilah sisku ya kawan-kawan berlian,Oke pertanyaan keempat ya alarik berinfaq di tujuannya apa sih?
Naufan Afansahari,Alarik,Pertanyaan kelima orang tua Alarik ajarin infaq setiap hari enggak sih?,Ya tentu saja orang tua pasti mengajarkan sesuatu yang baik,Wah jadi alarik termotivasi dari orang tua,Iya karena hal itu membuat saya terbiasa,Wah keren sekali ya alarik
Andriy,Cania Citta,"Kania Cita, apa kabar Kania?","Halo Andri, thank you udah ngundang kesini",Waduh gila kita janjiin dari bulan kapan ya,"Sorry banget ya, nih kita jadi schedule","Gak apa-apa, gue tau lu sibuk banget abis ini aja lu masih ada schedule lagi, susah lah"
Andriy,Cania Citta,Lu emang suka politik ya?,Sebenarnya awalnya sih enggak sih,Lalu kenapa masuk ke situ?,Jadi awalnya gue ngambil jurusan itu terus sebenarnya gini waktu gue SMA gue ikut lomba debat,Waktu itu English Debate SMA?
Andriy,Cania Citta, Masuk UI kan tapi gak gampang kan?,Jujur aja gue sih justru mengambil jurusan itu juga salah satu faktornya adalah dia termasuk gampang maksudnya dalam artian bukan dalam jurusan-jurusan yang pasti grade-nya gitu lah ya,"Oh oke, jadi termasuk yang lu sama kayak lu tau Devan kan? semakin di Devan dia juga UI dia",Iya iya iya,Tapi dia ngambil jurusan geografi
Andriy,Cania Citta,Yang penting katanya dia biar di yellow jacket katanya,Jujur kalau gue UI-nya bukan gara-gara yellow jacket tapi jadi waktu itu sebenarnya sebelum aku masuk UI sebenarnya gue pengen banget bisa ke ISI sebenarnya gue pengen jadi musisi,Oke,"Cuman, gue di feedback sama nyokap gue kayak lu kalau misalnya ISI kan di Jogja dia bilang lu kalau misalnya keluar kota lu bayar ininya pake apa gitu",Iya sih stun lebih jauh bener-bener ya jadi akamsi-akamsi juga sih itu kan
Andriy,Cania Citta,Lu sibuk apa sih? Lu juga jadi English teacher,"Enggak, sebenarnya Iya gue ngajar juga cuman sorry-sorry maksudnya aku lulus telat jujur aja bukan gara-gara sibuk sebenarnya",Gara-gara apa?,Males aja emang lama aja ininya kayak buat sit down dan ngetik tuh mager gitu,"Jadi kayak hal-hal kayak gitu juga yang kadang-kadang bikin mager ya, dengan segala challenge yang ada tapi ketika udah lebih membaik kondisi finansialnya dan akhirnya bisa afford gini-gini jadi udah lebih enak juga ngerja yang skripsinya"
Andriy,Cania Citta,Terus lu pernah jadi intern di kompas Gramedia sosial media intern manage Facebook page of Kompas.com berarti lu emang dari 2015 itu memang ini ya udah berkecimpung di dari social media ya,"Sebenernya di 2015 itu juga gue ini sih gue mainan Line, Line official juga",Iya ada-ada media,Iya jadi gue sama beberapa teman-teman gue juga bikin konten disitu juga,Oh kamu banyak kan ngetik nulis
Andriy,Cania Citta,"Tapi kamu gila aku tiap hari buka sosmed pasti ada kamu lah minimal, oh ada video baru kan",Iya,Ada video baru kan?,Iya,Kayaknya ada di mana-mana gitu apa karena algoritma aku
Andriy,Cania Citta,Terus kan lu juga sempet jadi public policy analyst intern di DPR,Iya 6 bulan,Lu penting ngantor tuh di itu,Iya di gedung nusantara 1,Jadi kan ini ada yang kubanya sebelah kirinya ada gedung yang panjang
Andriy,Cania Citta,"Tapi akhirnya kan lu ini ya tadi lu bilang lu awkward di kamera, lu sebenernya bukan kamera person iya kan?",Iya menurut gua ya,"Menurut lu, tapi kan akhirnya lu sebagai di Geolive, Geolive head of content",Iya itu pertama kalinya tuh gua akhirnya main di dunia video lah gitu kan,"Gimana ceritanya lu bisa jadi itu, Di Geolive terus akhirnya lu tampil di video"
Andriy,Cania Citta,Berarti Youtube-nya udah ada nih ya,"Udah ada channel-nya ada nih namanya si Geolive ini, Mereka udah punya banyak nih video-video kayak dokumenter gitu actually kayak ratusan bahkan kayak 300-400 video",Oh udah banyak dong ya,Iya,Oh gitu
Andriy,Cania Citta,Lu mulai nge-YouTube-nya tuh 2016 kan?,Iya soalnya kan berapa bulan doang kan gua di-text kan terus gua pindah ke video gitu,Oke lu gak pernah nonton YouTube sekalipun gak pernah?,Enggak,Oke
Andriy,Cania Citta, Video awal lu berapa yang nonton,Ini seribuan deh,Seribuan?,700 gitu ya atau 1800 ya tapi untuk sebuah akun youtube yang udah lama gak disentuh dan dijauhi algoritma gede lah,Iya kan Youtube bisa gitu kan jadi hari pertama tuh kadang-kadang gak menentukan nanti views-nya berapa
Andriy,Cania Citta,Kan sebenernya gini gue tuh mulai ngeh sama lu karena lu tuh ngomentarin kontennya Omdet yang tentang pendidikan kuliah gak penting,Gue kemarin abis pas interview dia juga dibahas juga ydah ada baikan dong,Saat itu lu juga gak tau Omdet itu siapa? lu gak tau?,Gak tau,Iya makanya parah
Andriy,Cania Citta,Berarti memang karena kondisi ekonomi keluarga lu sampai membuat lu tuh tidak mengetahui hal-hal kayak ya itu kan entertainment lah ya lu sampe gak tau ya, Iya,Sampai segitunya,Iya dan juga tapi juga dari sisi lain balik lagi sih dengan mungkin autistiknya gue juga yang kayak ya ketika gue di rumah pun apa gue suka punya hal-hal gue sendiri kan maksudnya kayak gue enjoy dengan diri sendiri.,Oke
Andriy,Cania Citta,Jadi lu dari kecil hidupnya udah ini ya penuh dengan kerja-kerja dan kerja ya lo tuh nonton Mittergarden gak? Mittergarden tau gak Mittergarden?,"Oh Mittergarden gue nonton, Mittergarden gue nonton kebetulan disitu gue lagi bisa","Lu kayak sanca ya gue, kayak sanca ya gue suka banget lah gue barbisu itu cakep ya",Ya gue sempet nonton tuh Mittergarden bahkan Mittergarden Indonesia kayaknya gue nonton juga deh tuh lagi ada si Leonie kan,Iya leoni
Andriy,Cania Citta,Sekarang mungkin orang tau itu lu,Oh gitu ya,"Orang tau lu, lo sampe orang gak tau lu kayaknya keterlaluan ya apalagi kalo lu mengkonsumsi sosial media tiap hari ya",Gitu ya,Ya jadi tebalik kan jadi tebalik sekarang
Andriy,Cania Citta,Berarti ini apa semacam kayak bootcamp gitu kah atau apa,Nah kita sebenernya waktu itu gak bikin yang belum bikin lah gitu yang bootcamp ya jadi lebih produksi video gitu kebanyakan produksi video pengelajaran aja mengkonsumsi videonya nontonin videonya gitu iya nontonin video nanti ada assessmentnya gitu,"Oh oke, Iya iya iya",Nah cuman sebenernya sebelum jadi Zen Pro dia tuh sebuah proyek yang proyek kecil gitu di luar Zenius yang emang ngerjain hal yang sama nah cuman kayaknya waktu itu kayak mau dicobain dulu ini bisa gak sih gitu nah begitu viable baru ditarik jadi produknya Zenius gitu,"Oh gitu, berarti ini sebelum ada Zen Pro proyek gitu dulu tuh"
Andriy,Cania Citta,Berarti lu disini ngapain? Ngonten?,"Gue ngonten disitu gue, actually di awal gue mungkin ngerjain semuanya ya karena kan orangnya masih dikit tuh kan maksudnya waktu di proyek yang karena itu baru nyoba-nyoba nih gak tau nih bisa atau enggak",Gak ada?,Gue di awal gak ada video editor,Oh gue gak tau
Andriy,Cania Citta,Nah itu pas di luar Zenius ya,"Iya iya iya, eh begitu udah viable baru tuh di 2000, itu kan ngerjainnya kayak 2019 lah, 2019 awal 2020 baru diserap sama Zenius gitu",Nah terus apa jadinya mereka lakukan setelah itu,"Ini gue juga baru tau belakangan ya jadi kan waktu itu of course gue belum bagian dari Zenius ya gue gak tau cuman senior-seniornya Zenius yang cerita gitu kan jadi akhirnya cara mereka bekerja adalah mereka menginkubasi talent mereka di luar, gitu.",Nah inkubasi ini dalam bentuk apa?
Andriy,Cania Citta,Valuesnya apa sih?,"Ya gampang lah promoting cara berpikir yang scientific, rational, empathetic gitu kan CCA lah gitu kan",Ya karena kok bisa kan itu banyak konten-konten tentang science kan,"Iya antusias dengan scientific literacy gitu gitu nah yaudah Zenius networking dengan komunitas-komunitas ini, ada yang emang udah ada komunitasnya, terus yaudah kenalan lah dengan Zenius","Mirip-mirip kayak ini ya, Ya walaupun nggak ke tik-tok mirip tapi mirip-mirip kayak cara klub bola itu, scout talent"
Andriy,Cania Citta,"Jadi ya mungkin rada-rada ini juga inspired by itu ya, yang di scout dari kecil gitu kan",Bener-bener,Iya ,Gue mungkin mau sedikit lagi komen ya karena ini juga banyak diomongin dimana-mana ya soal kenal ya kan maksudnya Zenius merekrut orang-orang yang kenal aja ,Iya
Andriy,Cania Citta,"Sebenernya bisa dibilang dia itu udah melalui proses mentorship yang panjang, kayak akademi. Hubungannya sama tutor-tutor Zenius udah terjalin sejak lama, dan selama itu dia juga dibimbing untuk baca berbagai materi dari mereka. ",Ya obviously karena dia mendapatkan good education yang datang dari Zenius gitu,Untuk orang seperti ini kalo misalnya lu anggap berarti ini jalur ordal aja tuh menurut gue gila banget gitu maksudnya proses training dia,Itu biasanya tuh cuman kemarin tuh terakhir kita sempet nyobain di training kayak educator development gitu lah itu kayak kira-kira mungkin 10% lah yang direkrut dari situ gitu,Nah memang ada nggak sih gue terlibat di situ?
Andriy,Cania Citta,"Menurut gue, manusia itu tetap subjektif. Orang yang sering muncul di top of mind ya pasti yang sering interaksi. Meskipun lu punya kompetensi lebih dari orang lain, kalau gak pernah ditunjukin, siapa yang tahu? Dan siapa yang peduli, apalagi kalau lu bukan siapa-siapa?","Gua tuh suka sebel sama orang-orang kayak gitu juga kadang-kadang lu oke, lu jago
 Ya lu display dulu nih gitu you need to prove something supaya gua jadi tau gitu ya","Tapi kalau lu gak pernah nge-post alasannya males atau alasannya nanti aja bukan ini gua ya orang gak akan pernah kasih lu kesempatan dong, iya kan?","Ya tapi gitu kan, orang akan selalu punya seribu satu alasan untuk tidak melakukan itu karena ya emang males aja",Iya iya iya iya
Andriy,Cania Citta,Tapi kan lu sebagai orang yang di dalam gitu,"Iya, maksudnya ini mungkin hal yang bisa gue sampaikan. Sebatas yang gue tahu dan memang mungkin juga sudah beberapa kali disebut di publik, sebenarnya intinya ada semacam ketidaksepakatan dalam proses pengambilan keputusan.",Ya Zeniusnya sendiri bisa dioperate lagi dengan kapal baru lah gitu dengan nama yang berbeda? atau gimana?,Namanya kayak harus sama aja sih,Tetap sama aja?
Andriy,Cania Citta,Gimana lu awalnya sampai bisa diajak? Ferry kan inisiatur ya?,"Ya bisa dibilang Ferry dan gua lah gitu Ferry dan lu ngobrol terus ya kan dia mau bikin media gitu kan, ya gue ngobrol sama dia mau gak kalau konsepnya kayak gini kayak gini, dah akhirnya terjadilah sih Malaka Project gitu, ernyata gitu sih, oh itu ide nya dari lu berdua",Tapi yang punya ide bikin media tuh emang Ferry kan?,"Maksudnya, Ferry itu memang dari awal udah punya keinginan untuk bikin media seperti ini. Dia pengen punya semacam ""mesin"" narasi yang kuat, supaya bisa mempromosikan kebijakan, ide, dan nilai-nilai yang dia setujui. ",Oke
Andriy,Cania Citta,Berarti sebenernya tugas tuh ada bagian ini juga ya kayak nyusun kurikulum segala macem,"Oh iya, iya tetep tetep, tetep kok. Gue di Malaka Project juga tetep menyusun kurikulum untuk konten-konten sosial medianya","Iya, iya, iya, tapi lu hebat juga sih dari cerita-cerita lu, ternyata dulu lu sempat jadi pribadi yang tertutup, nggak peduli sekitar, bahkan sempat dibully. ",karena emang gue selalu merasa pasti ada yang bisa dikoreksi lagi gitu dari apa yang gue lakuin,"Terima kasih buat semua yang sudah sharing. Akhirnya kita bisa dengar cerita tentang Kania Tenggara. Gue sendiri salah satu yang menikmati konten lu karena isinya keren-keren. Malaka Project juga luar biasa. Menurut gue, yang lu lakukan itu amazing karena lu berani jadi voice of the voiceless. Banyak orang punya pikiran yang sama, tapi nggak berani ngomong karena takut salah. Sebagai sesama content creator, gue paham risikonya. Tapi justru karena itu, kita butuh lebih banyak orang seperti lu yang berani bicara saat ada yang nggak bener. Masalahnya, sering kali orang baik malah diam."
Arna,Eka,Nah disini saya ada beberapa pertanyaan untuk Mbak Eka tentang Islam menurut pandangan agama Kristen yang pertama yaitu bagaimana menurut pandangan agama Islam,Menurut pandangan saya pribadi agama Islam adalah salah satu agama yang menganut kepercayaan tentang Al-Quran,"Selanjutnya yaitu apa ada kesamaan cara beribadah atau yang lainnya dari agama saya, Islam, tentang agama kesampaian Kristen?","Menurut saya kesamaannya mungkin cara penyembahannya saja sama-sama beribadah Tuhan, tapi untuk cara beribadahnya mungkin berbeda.","Lalu untuk, maaf ya mbak, ini untuk Tuhan di Kristen itu kan saya tahunya ada tiga tentang Trinitas, yaitu Tuhan Bapak, Tuhan Ibu. Nah, itu apa ada di agama Tuhan Ibu?"
Arna,Eka,"Lalu untuk, kalau di agama saya kan Nabi Isa, kalau untuk agama mbaknya gimana?","Ini namanya Buhan Yesus, kalau di Katolik saya kurang kurang kurang.","Untuk pertanyaan selanjutnya, apakah menurut mbak Eka sudah terwujud toleransi beragama untuk sekarang ini?",Tidak ada.,Bagaimana?
Arna,Eka,"Untuk bahasa di kitab mbaknya Kristen Protestas sendiri, itu kan namanya Alkitab ya Pak. Itu bahasanya dalam Alkitab itu bahasa Alkitab.","Ada yang bahasa Selua, Inggris, dan Indonesia mungkin tergantung di berbagai kairan.","Jadi termasuk agama itu, bukan kitabnya itu termasuk tergantung negaranya. Terus selanjutnya, videocara beribadah sendiri bekerja, baiknya itu setiap hari apa?",Hari minggu atau hari tertentu,"Lalu untuk, kan ada nyang-nyang-nyang, tinggal banyak di bekerja. Itu sebenarnya kebunyai"
Arna,Eka,"Sama itu, soalat Idul Fitri, Idul Adha. Terus, disini kan pandangan Islam menurut agama mbaknya ya, apakah sama puasa saya dengan puasanya? Puasa agama ini enggak?",Beda.,Kalau mbaknya puasanya itu?,"Puasanya kalau misalnya ingin melakukan sesuatu, misalnya kayak contohnya mbaknya mau belajar, mau ujian gitu, harus puasa dulu. Atau kalian lain pengen ngapain, mbaknya puasa dulu gitu.","Oh, jadi puasanya di agama mbaknya itu karena punya hajat gitu?"
